                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.128,                 4.0541,                 1.5207,                0.02135,                0.68257,                0.06635,                0.04628,                 1.1584,                 3.8334,                 1.6256,               0.070357,              0.0032937,              0.0032937
                      1,                 1.1743,                 3.5005,                 1.5358,                0.20652,                0.17063,                0.11452,                0.06069,                 1.3729,                 3.4571,                 1.8191,               0.040313,              0.0065832,              0.0065832
                      2,                 1.2782,                 3.1237,                 1.6163,                 0.2579,                 0.1865,                 0.1479,                0.07627,                 1.6391,                 3.5142,                 2.0838,               0.010226,              0.0098288,              0.0098288
                      3,                 1.3364,                 2.8526,                 1.6399,                0.28029,                0.30678,                0.23411,                0.12865,                 1.6019,                 3.3228,                 2.1169,               0.009802,               0.009802,               0.009802
                      4,                  1.347,                 2.7438,                 1.6752,                0.26746,                0.26856,                0.17707,                0.09827,                  1.554,                  3.301,                 2.0483,               0.009802,               0.009802,               0.009802
                      5,                 1.3179,                 2.5646,                 1.6272,                0.36485,                0.29406,                0.29075,                0.14992,                 1.4747,                 3.0377,                 1.9496,               0.009736,               0.009736,               0.009736
                      6,                 1.2991,                 2.4315,                 1.6046,                0.40319,                 0.3889,                0.33249,                0.18612,                 1.5419,                  2.869,                 1.9388,                0.00967,                0.00967,                0.00967
                      7,                 1.2833,                 2.3386,                 1.5972,                0.35111,                0.40703,                0.35575,                0.20954,                 1.3966,                 2.5712,                 1.8553,               0.009604,               0.009604,               0.009604
                      8,                 1.2867,                 2.2779,                   1.59,                0.38624,                0.41476,                0.37898,                0.21586,                 1.4468,                 2.3545,                 1.8413,               0.009538,               0.009538,               0.009538
                      9,                 1.2615,                 2.1786,                 1.5626,                0.45734,                0.37894,                0.37298,                0.21882,                 1.4695,                 2.6225,                 1.8697,               0.009472,               0.009472,               0.009472
                     10,                 1.2517,                 2.1398,                 1.5572,                0.40794,                0.41397,                0.40173,                 0.2289,                 1.4124,                 2.2496,                 1.8729,               0.009406,               0.009406,               0.009406
                     11,                 1.2219,                 2.0572,                 1.5297,                 0.5595,                0.46259,                0.48935,                0.29466,                 1.3458,                 2.0335,                 1.7881,                0.00934,                0.00934,                0.00934
                     12,                  1.211,                 1.9902,                 1.5259,                0.58327,                0.46564,                0.50148,                0.29737,                 1.3486,                 2.0574,                  1.799,               0.009274,               0.009274,               0.009274
                     13,                 1.2033,                 1.9152,                 1.5032,                0.51709,                 0.4596,                0.46771,                0.27048,                 1.3948,                 2.2306,                 1.7651,               0.009208,               0.009208,               0.009208
                     14,                 1.1946,                 1.8881,                 1.4985,                 0.5601,                0.52535,                0.54904,                0.32093,                 1.3551,                 1.8706,                 1.7862,               0.009142,               0.009142,               0.009142
                     15,                 1.1977,                 1.8467,                 1.4919,                0.47813,                 0.5006,                0.50676,                0.29829,                 1.3558,                 1.9557,                  1.794,               0.009076,               0.009076,               0.009076
                     16,                 1.2015,                 1.8223,                  1.497,                 0.4771,                0.47006,                0.48559,                0.31121,                 1.3069,                 1.9077,                 1.7404,                0.00901,                0.00901,                0.00901
                     17,                 1.1759,                 1.7745,                 1.4896,                0.53197,                0.48095,                0.53539,                 0.3368,                 1.3144,                 1.7536,                 1.7137,               0.008944,               0.008944,               0.008944
                     18,                 1.1729,                 1.7093,                 1.4788,                0.57008,                0.54108,                0.52779,                0.32446,                 1.3406,                 1.8648,                 1.7337,               0.008878,               0.008878,               0.008878
                     19,                  1.171,                 1.7102,                 1.4801,                  0.567,                0.58096,                0.55415,                0.34363,                 1.3461,                 1.7387,                 1.7482,               0.008812,               0.008812,               0.008812
                     20,                 1.1584,                 1.6624,                  1.473,                0.53462,                0.53177,                0.56531,                0.35707,                 1.3145,                 1.7081,                 1.7424,               0.008746,               0.008746,               0.008746
                     21,                 1.1293,                 1.6104,                 1.4562,                 0.5489,                0.51948,                0.51643,                0.31869,                 1.2837,                 1.8497,                 1.6929,                0.00868,                0.00868,                0.00868
                     22,                 1.1464,                 1.6018,                 1.4642,                0.64191,                 0.5457,                0.59512,                0.38404,                 1.3023,                 1.6307,                 1.7131,               0.008614,               0.008614,               0.008614
                     23,                 1.1241,                 1.5614,                 1.4577,                 0.5703,                0.47104,                0.50938,                0.31734,                 1.3651,                 1.8098,                 1.7539,               0.008548,               0.008548,               0.008548
